bondlength	fci0	energy0	error0	fci1	energy1	error1	fci2	energy2	error2
2.116	-7.8522212992458735	-7.851364560424624	0.0008567388212492588	-7.77694887347644	-7.776309928158888	0.000638945317551709	-7.751269539912568	-7.750400172053054	0.0008693678595133036
2.128	-7.851288270456268	-7.8504392045950055	0.0008490658612627655	-7.777005246674375	-7.776368708318753	0.0006365383556223847	-7.751050433498933	-7.750188323010482	0.0008621104884509734
2.14	-7.850354196292477	-7.849512732428582	0.0008414638638951644	-7.777058863345681	-7.776424739458647	0.0006341238870346544	-7.7508246085361545	-7.749969415344224	0.0008551931919305034
2.152	-7.849419530410773	-7.848585596293088	0.0008339341176855086	-7.777109940955337	-7.776478310206235	0.0006316307491021078	-7.750592262623013	-7.749743946103974	0.0008483165190389386
2.1639999999999997	-7.8484847148739885	-7.847658239520451	0.0008264753535378588	-7.777158686824176	-7.77652940952982	0.0006292772943563563	-7.750353584011847	-7.7495121733103325	0.0008414107015148886
2.176	-7.8475501804497245	-7.846731090691779	0.0008190897579458678	-7.777205298401018	-7.776578696569427	0.0006266018315912447	-7.750108751968156	-7.749274135327293	0.0008346166408630395
2.1879999999999997	-7.846616346890616	-7.84580456937246	0.0008117775181561981	-7.777249963531044	-7.776625930073062	0.0006240334579814544	-7.749857937130746	-7.749030063294022	0.0008278738367240024
2.2	-7.8456836231970755	-7.8448790847054	0.0008045384916757214	-7.777292860720554	-7.776671426935368	0.0006214337851853102	-7.749601301872692	-7.748780118457138	0.0008211834155540387
2.2119999999999997	-7.844752407862732	-7.843955036790171	0.0007973710725606153	-7.7773341593983165	-7.776715319234274	0.0006188401640425667	-7.74933900066325	-7.748524458612423	0.0008145420508265389
2.224	-7.84382308910251	-7.843032812286357	0.0007902768161525131	-7.777374020173434	-7.776757841829377	0.0006161783440568058	-7.749071180430691	-7.748263218315964	0.000807962114726557
2.2359999999999998	-7.842896045064063	-7.842112797953015	0.0007832471110482686	-7.777412595090337	-7.776798640924529	0.0006139541658081171	-7.748797980926255	-7.747996542743609	0.000801438182645775
